group,true_label,PMD:Background,PMD:Objective,PMD:Methods,PMD:Results,PMD:Conclusions,NIC:Background,NIC:Intervention,NIC:Study Design,NIC:Population,NIC:Outcome,NIC:Other,DRI:Background,DRI:Challenge,DRI:Approach,DRI:Outcome,DRI:Futurework,ART:Background,ART:Motivation,ART:Hypothesis,ART:Goal,ART:Object,ART:Experiment,ART:Model,ART:Method,ART:Observation,ART:Result,ART:Conclusion
Background,PMD:Background,0.82,0.15,0.02,0,0,0.88,0.01,0.02,0.02,0,0.07,0.47,0.11,0.36,0.06,0,0.54,0.04,0,0.15,0.08,0,0,0.16,0.01,0,0.02
Problem,PMD:Objective,0.31,0.66,0.02,0,0,0.81,0.02,0.02,0.04,0,0.11,0.24,0.05,0.67,0.04,0,0.22,0.01,0,0.21,0.38,0.01,0,0.15,0.01,0,0.01
Methods,PMD:Methods,0,0,0.98,0.01,0,0.01,0.19,0.05,0.18,0.03,0.54,0.03,0,0.93,0.04,0,0.06,0,0,0.02,0.01,0.33,0,0.56,0.01,0,0.01
Results,PMD:Results,0,0,0.04,0.95,0.01,0,0.01,0,0.01,0.89,0.08,0.04,0,0.49,0.47,0,0.06,0,0,0,0,0.05,0,0.11,0.44,0.33,0.01
Conclusions,PMD:Conclusions,0,0,0,0.02,0.97,0,0,0,0,0.99,0,0.09,0.03,0.47,0.35,0.07,0.12,0.01,0,0.01,0.01,0,0,0.03,0.03,0.24,0.56
Background,NIC:Background,0.71,0.16,0.04,0.04,0.05,0.88,0,0,0.02,0.06,0.03,0.59,0.12,0.22,0.06,0,0.63,0.04,0,0.03,0.16,0,0,0.08,0.01,0.01,0.03
Methods,NIC:Intervent,0.14,0,0.79,0.06,0,0.13,0.51,0.02,0.06,0.08,0.21,0.16,0,0.75,0.1,0,0.08,0.03,0,0.02,0,0.43,0,0.41,0.02,0.02,0
Methods,NIC:Study Design,0.19,0.05,0.76,0,0,0.19,0,0.76,0.05,0,0,0.29,0,0.62,0.1,0,0.1,0,0,0.1,0.38,0.19,0,0.19,0,0.05,0
Methods,NIC:Population,0.04,0.08,0.8,0.07,0.01,0.08,0.02,0.02,0.76,0.02,0.12,0.32,0.01,0.62,0.06,0,0.13,0,0,0.08,0.08,0.16,0,0.52,0.01,0.01,0.01
Results,NIC:Outcome,0.05,0,0.05,0.57,0.33,0.04,0.01,0,0,0.9,0.04,0.32,0.06,0.35,0.26,0.02,0.27,0.01,0,0,0,0.01,0,0.08,0.16,0.28,0.2
