group,true_label,PMD:Background,PMD:Objective,PMD:Methods,PMD:Results,PMD:Conclusions,NIC:Background,NIC:Intervention,NIC:Study Design,NIC:Population,NIC:Outcome,NIC:Other,DRI:Background,DRI:Challenge,DRI:Approach,DRI:Outcome,DRI:Futurework,ART:Background,ART:Motivation,ART:Hypothesis,ART:Goal,ART:Object,ART:Experiment,ART:Model,ART:Method,ART:Observation,ART:Result,ART:Conclusion
Background,PMD:Background,0.78,0.2,0.02,0,0,0.9,0,0.01,0.01,0,0.08,0.06,0.86,0.06,0.01,0,0.08,0.39,0,0.21,0.24,0.02,0.01,0.04,0,0,0
Problem,PMD:Objective,0.26,0.71,0.03,0,0,0.85,0,0.01,0.02,0,0.11,0.02,0.85,0.11,0.02,0,0.02,0.13,0,0.62,0.18,0.02,0.01,0.01,0,0,0
Methods,PMD:Methods,0,0,0.97,0.02,0,0,0.19,0.04,0.21,0.02,0.54,0.01,0,0.97,0.02,0,0,0,0,0.02,0.03,0.64,0,0.3,0,0.01,0
Results,PMD:Results,0,0,0.03,0.96,0.01,0,0.01,0,0.01,0.94,0.05,0,0,0.07,0.93,0,0,0,0,0,0,0.03,0,0.03,0.12,0.79,0.02
Conclusions,PMD:Conclusions,0,0,0,0.03,0.97,0,0,0,0,1,0,0,0,0.01,0.89,0.1,0.02,0,0,0,0,0,0,0,0,0.06,0.91
Background,NIC:Background,0.69,0.18,0.04,0.04,0.05,0.89,0,0,0.02,0.07,0.02,0.22,0.57,0.06,0.13,0.04,0.37,0.13,0,0.16,0.1,0.02,0.03,0.07,0.01,0.03,0.09
Methods,NIC:Intervention,0.1,0.03,0.78,0.1,0,0.11,0.52,0.03,0.08,0.06,0.19,0.08,0.08,0.79,0.05,0,0.03,0.02,0,0.03,0.08,0.46,0,0.37,0,0.02,0
Methods,NIC:Study Design,0.1,0.1,0.81,0,0,0.14,0,0.71,0.1,0,0.05,0,0.19,0.67,0.14,0,0,0,0,0.1,0.19,0.52,0,0.14,0,0,0.05
Methods,NIC:Population,0.06,0.08,0.8,0.06,0,0.05,0.02,0.02,0.78,0.02,0.12,0.06,0.05,0.86,0.03,0,0.02,0,0,0.13,0.17,0.35,0,0.29,0,0.03,0
Results,NIC:Outcome,0.03,0,0.03,0.59,0.34,0.03,0.01,0,0,0.93,0.03,0.05,0.02,0.04,0.83,0.06,0.06,0.01,0,0,0,0.01,0,0.05,0.04,0.49,0.33
Methods,NIC:Other,0.06,0.08,0.74,0.1,0.02,0.09,0.02,0,0.05,0.1,0.74,0.05,0.09,0.73,0.14,0,0.03,0,0,0.11,0.03,0.19,0.01,0.53,0,0.08,0.01
Background,DRI:Background,0.9,0,0.06,0,0.04,0.92,0,0,0,0.02,0.06,0.81,0.05,0.12,0.01,0.01,0.66,0.03,0,0,0,0,0.08,0.23,0,0,0.01
Problem,DRI:Challenge,0.97,0,0,0,0.03,1,0,0,0,0,0,0.23,0.63,0.1,0.03,0,0.37,0.33,0,0.1,0.03,0,0,0.17,0,0,0
Methods,DRI:Approach,0.37,0.01,0.47,0.08,0.07,0.62,0.02,0,0.01,0.08,0.28,0.05,0.04,0.87,0.04,0,0.02,0,0,0.02,0.01,0,0.48,0.42,0.01,0.03,0.01
